76.7,15.5,62.4,22.1,1.7,56.4,32
56.1,14.5,59.2,26.2,1.2,84.5,22.5
60.5,14.7,58.2,27.1,1.3,77.2,21.4
72,20.1,60.6,19.3,0.6,92.8,16.6
54,10.1,56.1,33.8,1.5,85.7,21.7
97.3,12.9,60.4,26.7,3.5,57.9,28.9
65.5,12.6,64.9,22.5,1.5,88.4,30.7
40.8,18.4,60.2,21.4,2.6,88.4,12.6
39.3,12.6,57.2,30.2,2.9,94.9,17.7
70.1,17.3,58.5,24.2,1,91.6,16.3
48.6,15.8,58.6,25.6,1.1,91.6,16.6
76.8,17.8,60.9,21.3,2.1,72.5,18.9
88.4,14.4,66.4,19.2,2.6,53.4,38.8
65.2,17.7,60.7,21.6,1.2,87.7,17
56.4,21.8,64.3,13.8,7.5,88.4,11.5
57.1,14.9,59.7,25.4,1.8,89.8,19.4
58.8,11.8,54.5,33.7,1.4,85.3,21.8
51.8,11.9,59.4,28.7,1.4,86.4,19.5
46.6,11.2,57.3,31.5,1.1,89.2,21.1
46.1,16.8,56.7,26.5,0.5,87.9,19
51.1,12.6,56.8,30.5,1.8,79.9,20.5
94.4,16.2,67.3,16.5,2.9,39.4,41
36.5,15.3,58.9,25.8,1.7,95.9,12
73.8,14.3,58.9,26.8,1.2,71.8,22.3
99.9,17.6,67,15.4,3.1,54.7,29.8
94.6,19.3,62.1,18.6,2.2,68.4,16
44.9,13,55.9,31,1.5,86.7,21.7
87.6,16.3,63.7,20,2.2,53.3,31.3
75.5,19.2,59.1,21.7,1.6,92.5,14.9
84.5,20.3,61.3,18.3,1.3,69.1,16.7
50.3,12,55.2,32.8,0.9,84.5,19.5
71.9,15.1,62.1,22.8,2,75,27.7
36.8,14.4,54.1,31.5,0.8,92.6,17.7
72.3,19.2,60.4,20.4,1.5,88.6,18.6
39,10.9,58.8,30.3,1.2,98.1,15.3
85.2,17,60.9,22.1,4.2,68.8,22.5
50.9,14.5,56.6,28.8,0.8,92.5,18
34,12.3,58.5,29.2,1.8,94.6,19.4
99.5,10.4,57.5,32.1,5.1,70.1,20.1
67.4,15.9,61.6,22.6,1.8,91.8,20.8
64.9,16.7,58.5,24.9,2.2,91.2,19.1
100,18.2,60.8,21,4.2,51.2,30.2
64.5,18.8,60.2,20.9,1.7,95.4,19.5
48.9,12.1,58.2,29.7,0.9,90.2,22.1
99.4,14.8,62,23.2,3.4,52.1,34.6
69.6,10.2,56.7,33.2,0.9,68.8,24.9
89.3,18.2,61.4,20.4,0.7,86.4,18.2
52.1,13.2,56.3,30.5,3.1,80.6,19.9
96,25,61.8,13.2,0.7,81.9,18.5
99.8,16.8,66.3,16.8,6.1,37.8,34.4
72.2,14,57,29,1.2,66.5,23.9
34.6,13.8,58.6,27.5,1.1,96.6,17.6
50,16.7,56.7,26.6,1.1,96.6,17.5
88,22,64.2,13.8,4.7,71.2,22.2
54.8,12.5,58.5,29,2.5,76.2,22.3
56.7,15.8,65,19.2,2.2,84.4,28.7
49.8,15,58.6,26.3,0.8,80.9,25.4
51.8,13.6,53.5,33,0.6,88.8,16.8
59.6,13.9,58.8,27.3,2.2,86.1,17.1
87.4,18.9,61.3,19.7,2.1,67.5,27.1
48.8,13.6,62,24.4,1.8,92,20.5
39.4,13.6,56.3,30.1,0.7,91.9,20.1
70.2,22.6,63.4,14,1.6,94.3,16.1
65.4,13.9,59.5,26.6,9,94.5,16
51.4,14.8,56.1,29.1,3.7,89.4,14.5
98.2,14.3,61.9,23.9,6.2,44,33.5
85.7,14.2,61.6,24.2,2.8,62.1,26.7
69.2,11.6,57.2,31.2,3.2,89.3,17.3
54.2,18,58.8,23.2,2.6,93.8,12.8
63.1,12.3,58.1,29.6,1.2,78.3,23
55.6,9.5,50.2,40.3,1.1,80.7,20.4
86.7,15.2,66.1,18.7,2.3,41.5,38.6
40.3,15.7,55.7,28.6,1.3,94.9,17.2
69.1,15.5,59.6,24.9,1.7,88.3,18.5
38.7,8.5,56.4,35.1,2.1,91.5,21.6
63.8,15.6,61.8,22.6,1,75.4,23.7
59.1,15.5,55.7,28.8,0.5,95.9,20.9
67.1,15.5,61.4,23.1,2.1,88.3,18.2
44.7,19.4,56.3,24.3,0.6,97.3,21.1
49.9,13.5,60.2,26.3,1.4,92.3,11.1
99.6,14.4,63.7,21.9,4,28.6,40.2
82,20.3,59.6,20,0.7,88.8,16.1
69,17.4,59.8,22.8,3.4,75,20
28.5,14.4,59,26.6,4.1,95.2,20.4
54.3,16.1,60,24,1.5,89.7,21.4
51.8,12.9,56.6,30.4,3.3,89,16
89.6,14.7,64.1,21.2,4.3,47.2,34.1
75.4,19.1,59.5,21.4,2.1,81.5,19.4
71.3,22.6,60.1,17.3,0.9,87.5,18.2
53.4,18.5,59.1,22.4,1.1,97.7,13.8
28.7,19.5,64.1,16.5,7.3,95.7,9.3
88.5,23.8,61.6,14.6,1.3,74.5,18
57.5,14.4,59.3,26.3,1.1,83.6,18.7
35.6,14.9,58.8,26.3,1.7,97.4,20.5
69.7,11.4,57.7,30.9,4,70.3,24.5
82,21.1,61.8,17.1,1.3,82.7,11.1
79.3,34.8,56.5,8.7,0.4,95,11.9
55.8,19,62.1,18.9,1.2,90.6,19.5
82,17.7,62.3,20,2.9,65,24.7
66.3,14.6,58.6,26.8,2.1,74.4,20.3
54.6,19.5,59.2,21.2,1.4,89,13.3
73.8,15,60.2,24.9,2.8,73.5,24.9
61.1,29.2,55.9,14.9,0.6,97.6,17.6
79.7,29.1,57.1,13.8,2,95.7,11.1
60.5,13.5,57.2,29.3,1.9,86.7,21.2
63.9,19,57.6,23.4,1.2,96,9.8
70.7,15.1,58.7,26.2,4.8,94.1,15.4
99.6,13.9,65,21.1,12.2,43.4,46.1
43.4,16,58.8,25.2,1.5,93.9,13.7
79.4,22.1,62.4,15.6,1,93.5,7.9
39.4,22.6,57,20.4,0.3,98.6,19.6
57.9,14.3,54.7,31,0.8,85,20.6
29.1,12,56.2,31.7,3.7,96.7,19.9
79.5,14.6,62.3,23.1,1.9,56.4,31
78.3,25.7,59,15.3,0.6,91.7,18
46.9,15,54.1,30.9,0.8,93.7,18.4
49.8,15.5,61.6,22.9,4.3,92.1,17.6
78.5,20.1,60.3,19.6,2,88.8,10.8
87.4,22.4,62.4,15.2,0.8,77.9,20.4
65.2,15.7,61.1,23.2,1.3,88.6,13.3
45.6,16.1,59.1,24.8,2.1,95.5,15.2
71.5,21.4,62.6,16.1,1.6,80.2,17
81.1,13,57.3,29.7,1.5,65.4,24.1
63.3,12.9,56.3,30.8,2.1,80,23
84.8,16.2,62.2,21.6,1.4,60.1,23.1
74.6,16.4,58.5,25.1,0.6,86.2,14.6
82.1,18.3,61.7,20,2.1,68.7,22
64.8,23.9,57.2,18.9,0.6,91.5,18.9
91.3,19.9,62,18.2,1.5,60.6,21.9
66.7,21.3,62.3,16.3,1.2,91.1,9.8
65.1,12.5,57.3,30.2,1,73.6,24.8
86.7,22.3,63.6,14.2,2.5,76.3,18.3
55.9,14,58.3,27.7,9.6,84.3,16.7
66.2,17.6,60.5,21.9,1.5,77.1,19.2
49.4,19.9,57,23.1,5.3,93.1,16.4
70.8,15.7,57.9,26.4,1.2,76.5,19.5
71.5,19.7,58,22.4,0.7,85.6,21.3
96.3,19.3,66.7,14,2.5,47.7,38.6
68,14.2,59.2,26.6,2.5,74.5,27
50,11.3,54.1,34.7,1.1,83.5,21.7
77.4,19.2,61.6,19.2,1.1,72.2,18.7
